distinct_values,count,column_name
4,15961,CheckupKBfirst
6,642,CheckupKBfirst
00,57010,application Channel
01,1,application Channel
03,3,application Channel
10,257765,application Channel
20,7030,application Channel
22,1,application Channel
25,11460,application Channel
30,497238,application Channel
40,643100,application Channel
50,21,application Channel
60,2210549,application Channel
61,6,application Channel
70,282726,application Channel
99,1401227,application Channel
A1,117593,application Channel
AI,1,application Channel
,876319,application Channel
A,187,PledgeSettingKB
C,8823,PledgeSettingKB
E,6974,PledgeSettingKB
F,46428,PledgeSettingKB
G,1877,PledgeSettingKB
J,1,PledgeSettingKB
L,20,PledgeSettingKB
M,78,PledgeSettingKB
N,2,PledgeSettingKB
O,196,PledgeSettingKB
P,7394,PledgeSettingKB
Q,5577,PledgeSettingKB
,6284493,PledgeSettingKB
00001,29473,LatestAgencyD_01
00003,180,LatestAgencyD_01
00005,389,LatestAgencyD_01
00006,440,LatestAgencyD_01
00007,264,LatestAgencyD_01
00008,3093,LatestAgencyD_01
00010,20,LatestAgencyD_01
00012,238,LatestAgencyD_01
00013,327,LatestAgencyD_01
00014,917,LatestAgencyD_01
00015,193,LatestAgencyD_01
00016,6,LatestAgencyD_01
00017,19,LatestAgencyD_01
00018,2,LatestAgencyD_01
00019,1,LatestAgencyD_01
00020,2,LatestAgencyD_01
00021,1,LatestAgencyD_01
00022,1,LatestAgencyD_01
00023,2,LatestAgencyD_01
00024,1,LatestAgencyD_01
00025,1,LatestAgencyD_01
00026,10,LatestAgencyD_01
00027,65,LatestAgencyD_01
00028,18,LatestAgencyD_01
00029,704,LatestAgencyD_01
00030,210,LatestAgencyD_01
00031,2,LatestAgencyD_01
00032,6,LatestAgencyD_01
00033,1,LatestAgencyD_01
00034,12,LatestAgencyD_01
00035,1,LatestAgencyD_01
00036,39,LatestAgencyD_01
00037,2,LatestAgencyD_01
00038,4,LatestAgencyD_01
00039,8,LatestAgencyD_01
00040,2,LatestAgencyD_01
00041,8,LatestAgencyD_01
00042,2,LatestAgencyD_01
00043,1,LatestAgencyD_01
00044,4,LatestAgencyD_01
00045,1,LatestAgencyD_01
00046,327,LatestAgencyD_01
00047,58,LatestAgencyD_01
00049,1,LatestAgencyD_01
00050,1,LatestAgencyD_01
00051,210,LatestAgencyD_01
00052,1520,LatestAgencyD_01
00053,2,LatestAgencyD_01
00054,5,LatestAgencyD_01
00055,264,LatestAgencyD_01
00056,104,LatestAgencyD_01
00057,99,LatestAgencyD_01
00058,13,LatestAgencyD_01
00059,4,LatestAgencyD_01
00060,4,LatestAgencyD_01
00061,2,LatestAgencyD_01
00062,2,LatestAgencyD_01
00063,1,LatestAgencyD_01
00064,14,LatestAgencyD_01
00065,1,LatestAgencyD_01
00066,171,LatestAgencyD_01
00067,60,LatestAgencyD_01
00068,254,LatestAgencyD_01
00069,13,LatestAgencyD_01
00070,2,LatestAgencyD_01
00071,1,LatestAgencyD_01
00072,3,LatestAgencyD_01
00073,127,LatestAgencyD_01
00074,3,LatestAgencyD_01
00075,4,LatestAgencyD_01
00076,1,LatestAgencyD_01
00077,2,LatestAgencyD_01
00078,3,LatestAgencyD_01
00079,300,LatestAgencyD_01
00081,587,LatestAgencyD_01
00082,111,LatestAgencyD_01
00083,1,LatestAgencyD_01
00084,1,LatestAgencyD_01
00085,1,LatestAgencyD_01
00086,1,LatestAgencyD_01
00087,1,LatestAgencyD_01
00088,1,LatestAgencyD_01
00089,2,LatestAgencyD_01
00090,1,LatestAgencyD_01
00091,131,LatestAgencyD_01
00093,451,LatestAgencyD_01
00094,572,LatestAgencyD_01
00095,57,LatestAgencyD_01
00096,2,LatestAgencyD_01
00097,337,LatestAgencyD_01
00098,106,LatestAgencyD_01
00099,4,LatestAgencyD_01
00100,4,LatestAgencyD_01
00101,8,LatestAgencyD_01
00102,2,LatestAgencyD_01
00103,1,LatestAgencyD_01
00104,5,LatestAgencyD_01
00105,1,LatestAgencyD_01
00106,1,LatestAgencyD_01
00107,9,LatestAgencyD_01
00108,4,LatestAgencyD_01
00109,3,LatestAgencyD_01
00110,6,LatestAgencyD_01
00111,7,LatestAgencyD_01
00112,13,LatestAgencyD_01
00113,2,LatestAgencyD_01
00114,3,LatestAgencyD_01
00115,3,LatestAgencyD_01
00116,21,LatestAgencyD_01
00117,1,LatestAgencyD_01
00118,4,LatestAgencyD_01
00119,2,LatestAgencyD_01
00120,2,LatestAgencyD_01
00121,2,LatestAgencyD_01
00122,1,LatestAgencyD_01
00123,25,LatestAgencyD_01
00124,19,LatestAgencyD_01
00125,1,LatestAgencyD_01
00126,2,LatestAgencyD_01
00127,196,LatestAgencyD_01
00128,118,LatestAgencyD_01
00129,324,LatestAgencyD_01
00130,130,LatestAgencyD_01
00131,85,LatestAgencyD_01
00132,91,LatestAgencyD_01
00133,5,LatestAgencyD_01
00134,96,LatestAgencyD_01
00135,1317,LatestAgencyD_01
00137,236,LatestAgencyD_01
00138,44,LatestAgencyD_01
00139,122,LatestAgencyD_01
00140,109,LatestAgencyD_01
00141,36,LatestAgencyD_01
00142,658,LatestAgencyD_01
00143,23,LatestAgencyD_01
00144,1,LatestAgencyD_01
00145,5,LatestAgencyD_01
00146,332,LatestAgencyD_01
00147,4,LatestAgencyD_01
00148,68,LatestAgencyD_01
00149,12,LatestAgencyD_01
00400,2422,LatestAgencyD_01
00401,3145,LatestAgencyD_01
00402,153,LatestAgencyD_01
00403,1345,LatestAgencyD_01
00404,10,LatestAgencyD_01
00405,23,LatestAgencyD_01
00406,8,LatestAgencyD_01
00407,8,LatestAgencyD_01
00408,10,LatestAgencyD_01
00409,211,LatestAgencyD_01
00498,150,LatestAgencyD_01
00499,105424,LatestAgencyD_01
00501,506,LatestAgencyD_01
00502,117,LatestAgencyD_01
00503,81,LatestAgencyD_01
00505,176,LatestAgencyD_01
00506,98,LatestAgencyD_01
00510,247,LatestAgencyD_01
00520,5,LatestAgencyD_01
00522,52,LatestAgencyD_01
00523,112,LatestAgencyD_01
00524,93,LatestAgencyD_01
00526,56,LatestAgencyD_01
00527,57,LatestAgencyD_01
00528,41,LatestAgencyD_01
00529,80,LatestAgencyD_01
00530,52,LatestAgencyD_01
00611,24,LatestAgencyD_01
00617,2,LatestAgencyD_01
00619,21,LatestAgencyD_01
00620,426,LatestAgencyD_01
00621,28,LatestAgencyD_01
00622,5,LatestAgencyD_01
00626,12,LatestAgencyD_01
00628,150,LatestAgencyD_01
00629,2,LatestAgencyD_01
00630,333,LatestAgencyD_01
00631,14,LatestAgencyD_01
00635,117,LatestAgencyD_01
00637,293,LatestAgencyD_01
00638,2,LatestAgencyD_01
00642,639,LatestAgencyD_01
00643,7,LatestAgencyD_01
00645,1,LatestAgencyD_01
00648,65,LatestAgencyD_01
00649,509,LatestAgencyD_01
00651,232,LatestAgencyD_01
00652,30,LatestAgencyD_01
00653,2,LatestAgencyD_01
00654,1,LatestAgencyD_01
00656,452,LatestAgencyD_01
00657,6,LatestAgencyD_01
00660,4,LatestAgencyD_01
00662,209,LatestAgencyD_01
00663,4,LatestAgencyD_01
00665,205,LatestAgencyD_01
00666,12,LatestAgencyD_01
00668,80,LatestAgencyD_01
00669,236,LatestAgencyD_01
00670,2,LatestAgencyD_01
00672,4,LatestAgencyD_01
00674,338,LatestAgencyD_01
00675,4,LatestAgencyD_01
00677,1,LatestAgencyD_01
00678,541,LatestAgencyD_01
00679,16,LatestAgencyD_01
00681,141,LatestAgencyD_01
00683,354,LatestAgencyD_01
00685,288,LatestAgencyD_01
00687,3,LatestAgencyD_01
00690,707,LatestAgencyD_01
00693,3,LatestAgencyD_01
00696,141,LatestAgencyD_01
00697,8,LatestAgencyD_01
00700,4,LatestAgencyD_01
00703,2,LatestAgencyD_01
00704,187,LatestAgencyD_01
00706,201,LatestAgencyD_01
00708,150,LatestAgencyD_01
00709,4,LatestAgencyD_01
00710,342,LatestAgencyD_01
00711,8,LatestAgencyD_01
00712,3,LatestAgencyD_01
00715,1,LatestAgencyD_01
00717,171,LatestAgencyD_01
00718,23,LatestAgencyD_01
00723,13,LatestAgencyD_01
00724,5,LatestAgencyD_01
00729,1130,LatestAgencyD_01
00734,721,LatestAgencyD_01
00736,20,LatestAgencyD_01
00738,358,LatestAgencyD_01
00739,7,LatestAgencyD_01
00740,1,LatestAgencyD_01
00742,180,LatestAgencyD_01
00743,2,LatestAgencyD_01
00744,499,LatestAgencyD_01
00745,14,LatestAgencyD_01
