distinct_values,count,column_name
1GF,372,LatestPolicyType_01
1GG,737,LatestPolicyType_01
1GH,95,LatestPolicyType_01
1GJ,5132,LatestPolicyType_01
1GK,1539,LatestPolicyType_01
1GL,444,LatestPolicyType_01
1GM,59,LatestPolicyType_01
1GN,20314,LatestPolicyType_01
1GP,22286,LatestPolicyType_01
1GQ,743,LatestPolicyType_01
1GS,14621,LatestPolicyType_01
1GT,404,LatestPolicyType_01
1GV,9766,LatestPolicyType_01
1GW,6488,LatestPolicyType_01
1GX,2915,LatestPolicyType_01
1GY,1109,LatestPolicyType_01
1GZ,3913,LatestPolicyType_01
1H8,18561,LatestPolicyType_01
1H9,1679,LatestPolicyType_01
1HA,2887,LatestPolicyType_01
1HC,15933,LatestPolicyType_01
1HE,9772,LatestPolicyType_01
1HF,89170,LatestPolicyType_01
1J1,90485,LatestPolicyType_01
1J2,161,LatestPolicyType_01
1J3,2480,LatestPolicyType_01
1J4,653,LatestPolicyType_01
1J5,34,LatestPolicyType_01
1J6,10,LatestPolicyType_01
1J7,1482,LatestPolicyType_01
1J8,480,LatestPolicyType_01
1JA,10522,LatestPolicyType_01
1JB,82,LatestPolicyType_01
1JC,39,LatestPolicyType_01
1JD,1,LatestPolicyType_01
1JE,3,LatestPolicyType_01
1JF,402,LatestPolicyType_01
1JG,26,LatestPolicyType_01
1JJ,80,LatestPolicyType_01
1JL,2421,LatestPolicyType_01
1JN,4,LatestPolicyType_01
1JQ,1462,LatestPolicyType_01
1JV,44626,LatestPolicyType_01
1JW,762,LatestPolicyType_01
1JX,9272,LatestPolicyType_01
1JY,479,LatestPolicyType_01
1JZ,30,LatestPolicyType_01
1K0,109,LatestPolicyType_01
1K1,1679,LatestPolicyType_01
1K2,21430,LatestPolicyType_01
1K6,19101,LatestPolicyType_01
1K7,2088,LatestPolicyType_01
1K9,177185,LatestPolicyType_01
1KB,79496,LatestPolicyType_01
1KC,16179,LatestPolicyType_01
1KD,5279,LatestPolicyType_01
1KE,6031,LatestPolicyType_01
1KF,3973,LatestPolicyType_01
1KG,4191,LatestPolicyType_01
1KH,3895,LatestPolicyType_01
1KJ,891,LatestPolicyType_01
1KK,3187,LatestPolicyType_01
1KL,771,LatestPolicyType_01
1KM,1939,LatestPolicyType_01
1KN,724,LatestPolicyType_01
1KP,1612,LatestPolicyType_01
1KQ,594,LatestPolicyType_01
1KR,5147,LatestPolicyType_01
1KS,1399,LatestPolicyType_01
1KT,866,LatestPolicyType_01
1KU,4493,LatestPolicyType_01
1KV,343,LatestPolicyType_01
1KW,498,LatestPolicyType_01
1KX,323,LatestPolicyType_01
1KY,56,LatestPolicyType_01
1KZ,289,LatestPolicyType_01
1L0,1005,LatestPolicyType_01
1L1,3834,LatestPolicyType_01
1L2,1906,LatestPolicyType_01
1L3,4552,LatestPolicyType_01
1L4,3348,LatestPolicyType_01
1L5,2664,LatestPolicyType_01
1L6,2094,LatestPolicyType_01
1L8,80773,LatestPolicyType_01
1LA,11295,LatestPolicyType_01
1LB,117,LatestPolicyType_01
1LC,112835,LatestPolicyType_01
1LD,14363,LatestPolicyType_01
1LE,5571,LatestPolicyType_01
1LF,16644,LatestPolicyType_01
1LG,940,LatestPolicyType_01
1LH,3311,LatestPolicyType_01
1LJ,443,LatestPolicyType_01
1LK,15,LatestPolicyType_01
1LL,40,LatestPolicyType_01
1LM,2512,LatestPolicyType_01
1LN,2345,LatestPolicyType_01
1LP,668,LatestPolicyType_01
1LQ,2990,LatestPolicyType_01
1LR,1015,LatestPolicyType_01
1LS,3466,LatestPolicyType_01
1LT,1754,LatestPolicyType_01
1LU,4598,LatestPolicyType_01
1LV,3165,LatestPolicyType_01
1LW,1586,LatestPolicyType_01
1LX,3786,LatestPolicyType_01
1LY,5181,LatestPolicyType_01
1LZ,2890,LatestPolicyType_01
1M5,58,LatestPolicyType_01
1M9,2358,LatestPolicyType_01
1MB,3766,LatestPolicyType_01
1MC,3187,LatestPolicyType_01
1MD,241,LatestPolicyType_01
1ME,241,LatestPolicyType_01
1MF,764,LatestPolicyType_01
1MG,6019,LatestPolicyType_01
1MH,556,LatestPolicyType_01
1MJ,2549,LatestPolicyType_01
1MK,30,LatestPolicyType_01
1ML,424,LatestPolicyType_01
1MM,645,LatestPolicyType_01
1MN,1278,LatestPolicyType_01
1MP,1,LatestPolicyType_01
1MQ,1056,LatestPolicyType_01
1MR,1843,LatestPolicyType_01
1MS,4,LatestPolicyType_01
1MT,812,LatestPolicyType_01
1MW,3322,LatestPolicyType_01
1N0,321,LatestPolicyType_01
1N1,211,LatestPolicyType_01
1N2,38,LatestPolicyType_01
1N3,534,LatestPolicyType_01
1N4,644,LatestPolicyType_01
1NE,5731,LatestPolicyType_01
1NN,454,LatestPolicyType_01
1NS,2022,LatestPolicyType_01
1NW,3947,LatestPolicyType_01
1NX,471,LatestPolicyType_01
1NY,52,LatestPolicyType_01
1NZ,1073,LatestPolicyType_01
1P3,18346,LatestPolicyType_01
1P5,2376,LatestPolicyType_01
1PV,14,LatestPolicyType_01
1PW,4,LatestPolicyType_01
1Q3,1,LatestPolicyType_01
1Q4,32,LatestPolicyType_01
1Q8,5,LatestPolicyType_01
1QD,681,LatestPolicyType_01
1QE,33,LatestPolicyType_01
1QP,1,LatestPolicyType_01
1QU,74,LatestPolicyType_01
1QZ,27,LatestPolicyType_01
1R0,345,LatestPolicyType_01
1R1,152,LatestPolicyType_01
1R3,1120,LatestPolicyType_01
1R4,1,LatestPolicyType_01
1R9,1925,LatestPolicyType_01
1RE,40,LatestPolicyType_01
1RH,538,LatestPolicyType_01
1RJ,2,LatestPolicyType_01
1RM,60,LatestPolicyType_01
1RP,5976,LatestPolicyType_01
1RQ,2428,LatestPolicyType_01
1RT,9608,LatestPolicyType_01
1RU,1,LatestPolicyType_01
1RV,79,LatestPolicyType_01
1RW,1,LatestPolicyType_01
1RY,7,LatestPolicyType_01
1S4,1233,LatestPolicyType_01
1S5,185,LatestPolicyType_01
1S6,3947,LatestPolicyType_01
1S7,3212,LatestPolicyType_01
1S8,338,LatestPolicyType_01
1S9,532,LatestPolicyType_01
1SF,23,LatestPolicyType_01
1SK,2799,LatestPolicyType_01
1SP,2601,LatestPolicyType_01
1SX,187,LatestPolicyType_01
1T1,98627,LatestPolicyType_01
1T2,9448,LatestPolicyType_01
1T3,25501,LatestPolicyType_01
1T4,19801,LatestPolicyType_01
1T5,1438,LatestPolicyType_01
1T6,1341,LatestPolicyType_01
1T7,375986,LatestPolicyType_01
1T8,227640,LatestPolicyType_01
1T9,7727,LatestPolicyType_01
1TA,12624,LatestPolicyType_01
1TB,6535,LatestPolicyType_01
1TC,13921,LatestPolicyType_01
1TD,71,LatestPolicyType_01
1TE,24009,LatestPolicyType_01
1TF,1722,LatestPolicyType_01
1TG,11251,LatestPolicyType_01
1TH,5299,LatestPolicyType_01
1TJ,15446,LatestPolicyType_01
1TK,8763,LatestPolicyType_01
1TL,2903,LatestPolicyType_01
1TM,319,LatestPolicyType_01
1TQ,871,LatestPolicyType_01
1TR,8612,LatestPolicyType_01
1TS,16,LatestPolicyType_01
1TT,98,LatestPolicyType_01
1TV,8,LatestPolicyType_01
1TW,236614,LatestPolicyType_01
1TY,14788,LatestPolicyType_01
1U1,3,LatestPolicyType_01
1U2,68,LatestPolicyType_01
1U3,68,LatestPolicyType_01
1U4,1122,LatestPolicyType_01
1U5,361,LatestPolicyType_01
1U6,248,LatestPolicyType_01
1U7,21961,LatestPolicyType_01
1UA,10300,LatestPolicyType_01
1UB,183609,LatestPolicyType_01
1UC,125758,LatestPolicyType_01
1UD,18999,LatestPolicyType_01
1UE,10755,LatestPolicyType_01
1UG,2529,LatestPolicyType_01
1UH,4397,LatestPolicyType_01
1UJ,63,LatestPolicyType_01
1UK,168,LatestPolicyType_01
1UL,32347,LatestPolicyType_01
1UM,35824,LatestPolicyType_01
1UN,280,LatestPolicyType_01
1UP,1013,LatestPolicyType_01
1UQ,13558,LatestPolicyType_01
1UR,20342,LatestPolicyType_01
1US,242,LatestPolicyType_01
1UT,1470,LatestPolicyType_01
1UW,49,LatestPolicyType_01
1V0,208,LatestPolicyType_01
1V2,13,LatestPolicyType_01
1V3,2,LatestPolicyType_01
1V4,16,LatestPolicyType_01
1V6,1,LatestPolicyType_01
1VD,15,LatestPolicyType_01
1VE,3470,LatestPolicyType_01
1VF,263,LatestPolicyType_01
1VG,4,LatestPolicyType_01
1VJ,34,LatestPolicyType_01
1VK,8,LatestPolicyType_01
1VL,1,LatestPolicyType_01
1VQ,137,LatestPolicyType_01
1VS,128,LatestPolicyType_01
1VT,25,LatestPolicyType_01
1VU,111,LatestPolicyType_01
1VV,132,LatestPolicyType_01
1VX,8,LatestPolicyType_01
1VZ,2,LatestPolicyType_01
1W0,358,LatestPolicyType_01
1W1,9,LatestPolicyType_01
1W3,11,LatestPolicyType_01
1W4,1,LatestPolicyType_01
1W7,13,LatestPolicyType_01
1WA,171,LatestPolicyType_01
1WB,2,LatestPolicyType_01
1WC,375,LatestPolicyType_01
1WD,2191,LatestPolicyType_01
1WE,410,LatestPolicyType_01
1WF,4,LatestPolicyType_01
1WH,90,LatestPolicyType_01
1WK,14059,LatestPolicyType_01
1WL,4329,LatestPolicyType_01
1WM,45,LatestPolicyType_01
1WN,491,LatestPolicyType_01
1WP,6101,LatestPolicyType_01
1WQ,242,LatestPolicyType_01
1WR,327,LatestPolicyType_01
1WS,45,LatestPolicyType_01
1WU,66,LatestPolicyType_01
1WV,2,LatestPolicyType_01
1WW,3520,LatestPolicyType_01
1WX,771,LatestPolicyType_01
1WY,23,LatestPolicyType_01
1WZ,5287,LatestPolicyType_01
1X0,15809,LatestPolicyType_01
1X1,50044,LatestPolicyType_01
1X2,24315,LatestPolicyType_01
1X3,8715,LatestPolicyType_01
1X4,7989,LatestPolicyType_01
1X6,24969,LatestPolicyType_01
1X7,321,LatestPolicyType_01
1X8,108,LatestPolicyType_01
1X9,3874,LatestPolicyType_01
1XA,2615,LatestPolicyType_01
1XB,3,LatestPolicyType_01
1XC,516,LatestPolicyType_01
1XD,5343,LatestPolicyType_01
1XE,4104,LatestPolicyType_01
1XF,1709,LatestPolicyType_01
1XG,3243,LatestPolicyType_01
1XH,6321,LatestPolicyType_01
1XJ,6440,LatestPolicyType_01
1XK,16220,LatestPolicyType_01
1XL,7389,LatestPolicyType_01
1XM,2529,LatestPolicyType_01
1XN,11795,LatestPolicyType_01
1XP,6663,LatestPolicyType_01
1XQ,10767,LatestPolicyType_01
1XR,8626,LatestPolicyType_01
1XS,29085,LatestPolicyType_01
1XT,17588,LatestPolicyType_01
1XU,16314,LatestPolicyType_01
1XV,60168,LatestPolicyType_01
1XW,41212,LatestPolicyType_01
1XX,18678,LatestPolicyType_01
1XY,5493,LatestPolicyType_01
1XZ,24088,LatestPolicyType_01
1Y0,5591,LatestPolicyType_01
1Y1,36185,LatestPolicyType_01
1Y2,5095,LatestPolicyType_01
1Y3,28985,LatestPolicyType_01
1Y4,18430,LatestPolicyType_01
1Y5,184086,LatestPolicyType_01
1Y6,195873,LatestPolicyType_01
1Y7,7343,LatestPolicyType_01
1Y8,8861,LatestPolicyType_01
1Y9,73023,LatestPolicyType_01
1YA,1094,LatestPolicyType_01
1YB,92,LatestPolicyType_01
1YC,159,LatestPolicyType_01
1YD,391,LatestPolicyType_01
1YE,845,LatestPolicyType_01
1YF,343,LatestPolicyType_01
1YG,958,LatestPolicyType_01
1YH,71,LatestPolicyType_01
1YJ,113,LatestPolicyType_01
1YK,493,LatestPolicyType_01
1YL,450,LatestPolicyType_01
1YM,5,LatestPolicyType_01
1YN,440,LatestPolicyType_01
1YP,238,LatestPolicyType_01
1YQ,19,LatestPolicyType_01
1YR,346,LatestPolicyType_01
1YS,2,LatestPolicyType_01
1YU,1902,LatestPolicyType_01
1YV,3745,LatestPolicyType_01
1YW,18934,LatestPolicyType_01
1YX,96212,LatestPolicyType_01
1YY,20220,LatestPolicyType_01
1YZ,3546,LatestPolicyType_01
1Z0,1645,LatestPolicyType_01
1Z1,3441,LatestPolicyType_01
1ZA,86108,LatestPolicyType_01
1ZB,7252,LatestPolicyType_01
1ZC,5404,LatestPolicyType_01
1ZE,6333,LatestPolicyType_01
1ZF,4455,LatestPolicyType_01
1ZG,3668,LatestPolicyType_01
1ZH,1930,LatestPolicyType_01
1ZJ,7145,LatestPolicyType_01
1ZK,10843,LatestPolicyType_01
1ZL,199,LatestPolicyType_01
1ZM,484,LatestPolicyType_01
1ZN,2304,LatestPolicyType_01
1ZP,4863,LatestPolicyType_01
1ZQ,39,LatestPolicyType_01
1ZR,273,LatestPolicyType_01
1ZS,54252,LatestPolicyType_01
